Organisation,Location,Date,Rocket_Status,Price,Mission_Status
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA","Thu Jan 13, 2022 22:52 UTC",Active,12.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Jan 13, 2022 15:25 UTC",Active,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Jan 06, 2022 21:49 UTC",Active,50.0,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Thu Dec 30, 2021 03:30 UTC",Active,0,Failure
CASC,"LC-2, Xichang Satellite Launch Center, China","Wed Dec 29, 2021 16:43 UTC",Active,29.15,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Dec 29, 2021 11:13 UTC",Active,29.75,Success
VKS RF,"Site 35/1, Plesetsk Cosmodrome, Russia","Mon Dec 27, 2021 19:00 UTC",Active,100.0,Failure
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Mon Dec 27, 2021 13:10 UTC",Active,25.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sun Dec 26, 2021 03:11 UTC",Active,64.68,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Dec 25, 2021 12:20 UTC",Active,200.0,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China","Thu Dec 23, 2021 10:12 UTC",Active,0,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Wed Dec 22, 2021 15:32 UTC",Active,0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Tue Dec 21, 2021 10:07 UTC",Active,50.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Dec 19, 2021 03:58 UTC",Active,50.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Sat Dec 18, 2021 12:41 UTC",Active,50.0,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Dec 15, 2021 02:00 UTC",Active,5.8,Failure
CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Dec 13, 2021 16:09 UTC",Active,29.15,Success
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Mon Dec 13, 2021 12:07 UTC",Active,65.0,Partial Failure
Blue Origin,"Launch Site One, West Texas, Texas, USA","Sat Dec 11, 2021 15:00 UTC",Active,0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Fri Dec 10, 2021 00:11 UTC",Active,64.68,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Dec 09, 2021 06:00 UTC",Active,50.0,Success
Rocket Lab,"Māhia Peninsula, New Zealand","Thu Dec 09, 2021 00:02 UTC",Active,7.5,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Dec 08, 2021 07:38 UTC",Active,17.42,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Tue Dec 07, 2021 10:19 UTC",Active,153.0,Success
Galactic Energy,"Site 95, Jiuquan Satellite Launch Center, China","Tue Dec 07, 2021 04:12 UTC",Active,4.9,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Sun Dec 05, 2021 00:19 UTC",Active,30.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Dec 02, 2021 23:12 UTC",Active,50.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Fri Nov 26, 2021 16:40 UTC",Active,29.15,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Nov 25, 2021 01:09 UTC",Active,25.0,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Nov 24, 2021 23:41 UTC",Active,5.8,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Nov 24, 2021 13:06 UTC",Active,20.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Wed Nov 24, 2021 06:21 UTC",Active,50.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Mon Nov 22, 2021 23:45 UTC",Active,64.68,Success
Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA","Sat Nov 20, 2021 06:16 UTC",Active,2.5,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sat Nov 20, 2021 01:51 UTC",Active,64.68,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Thu Nov 18, 2021 01:38 UTC",Active,7.5,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France","Tue Nov 16, 2021 09:27 UTC",Active,37.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat Nov 13, 2021 12:19 UTC",Active,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Nov 11, 2021 02:03 UTC",Active,50.0,Success
JAXA,"Mu Pad, Uchinoura Space Center, Japan","Tue Nov 09, 2021 00:55 UTC",Active,39.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Nov 06, 2021 03:00 UTC",Active,29.75,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China","Fri Nov 05, 2021 02:19 UTC",Active,19.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Nov 03, 2021 07:43 UTC",Active,30.8,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Oct 28, 2021 00:00 UTC",Active,17.42,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Oct 27, 2021 06:19 UTC",Active,5.8,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Tue Oct 26, 2021 02:19 UTC",Active,90.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sun Oct 24, 2021 02:10 UTC",Active,200.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Sun Oct 24, 2021 01:27 UTC",Active,29.15,Success
KARI,"LC-1, Naro Space Center, South Korea","Thu Oct 21, 2021 08:00 UTC",Active,0,Failure
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Sat Oct 16, 2021 09:34 UTC",Active,109.0,Success
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Fri Oct 15, 2021 16:23 UTC",Active,0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Thu Oct 14, 2021 10:51 UTC",Active,29.75,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia","Thu Oct 14, 2021 09:40 UTC",Active,25.0,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA","Wed Oct 13, 2021 14:50 UTC",Active,0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Oct 05, 2021 08:55 UTC",Active,17.42,Success
ULA,"SLC-3E, Vandenberg SFB, California, USA","Mon Sep 27, 2021 18:12 UTC",Active,109.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Sep 27, 2021 08:20 UTC",Active,29.15,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Mon Sep 27, 2021 06:19 UTC",Active,5.8,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China","Mon Sep 20, 2021 07:10 UTC",Active,0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Sep 16, 2021 00:02 UTC",Active,50.0,Success
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Sep 14, 2021 18:07 UTC",Active,25.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Tue Sep 14, 2021 03:55 UTC",Active,50.0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Sep 09, 2021 19:59 UTC",Active,0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Sep 09, 2021 11:50 UTC",Active,29.15,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Tue Sep 07, 2021 03:01 UTC",Active,64.68,Success
Firefly,"SLC-2W, Vandenberg SFB, California, USA","Fri Sep 03, 2021 01:59 UTC",Active,15.0,Failure
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sun Aug 29, 2021 07:14 UTC",Active,50.0,Success
Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA","Sat Aug 28, 2021 22:35 UTC",Active,2.5,Failure
Blue Origin,"Launch Site One, West Texas, Texas, USA","Thu Aug 26, 2021 14:31 UTC",Active,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Tue Aug 24, 2021 15:41 UTC",Active,29.15,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Tue Aug 24, 2021 11:15 UTC",Active,30.8,Success
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Aug 21, 2021 22:13 UTC",Active,25.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Aug 18, 2021 22:32 UTC",Active,64.68,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France","Tue Aug 17, 2021 01:47 UTC",Active,37.0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Aug 12, 2021 00:13 UTC",Active,47.0,Failure
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Tue Aug 10, 2021 22:01 UTC",Active,85.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Aug 05, 2021 16:30 UTC",Active,29.15,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China","Wed Aug 04, 2021 11:01 UTC",Active,19.0,Success
i-Space,"Site 95, Jiuquan Satellite Launch Center, China","Tue Aug 03, 2021 07:39 UTC",Active,0,Failure
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Jul 30, 2021 21:00 UTC",Active,200.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Thu Jul 29, 2021 06:00 UTC",Active,7.5,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Thu Jul 29, 2021 04:01 UTC",Active,29.75,Success
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Wed Jul 21, 2021 14:58 UTC",Active,65.0,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA","Tue Jul 20, 2021 13:12 UTC",Active,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Jul 19, 2021 00:19 UTC",Active,30.8,Success
Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Sun Jul 11, 2021 15:25 UTC",Active,0,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China","Fri Jul 09, 2021 11:59 UTC",Active,19.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jul 06, 2021 15:53 UTC",Active,20.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun Jul 04, 2021 23:28 UTC",Active,64.68,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sat Jul 03, 2021 02:51 UTC",Active,29.75,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia","Thu Jul 01, 2021 12:48 UTC",Active,25.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Jun 30, 2021 19:31 UTC",Active,50.0,Success
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA","Wed Jun 30, 2021 14:47 UTC",Active,12.0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Jun 29, 2021 23:27 UTC",Active,17.42,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri Jun 25, 2021 19:50 UTC",Active,20.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Jun 18, 2021 06:30 UTC",Active,30.8,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Jun 17, 2021 16:09 UTC",Active,50.0,Success
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Thu Jun 17, 2021 01:22 UTC",Active,0,Success
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA","Tue Jun 15, 2021 13:35 UTC",Active,40.0,Success
Northrop,"Stargazer, Vandenberg SFB, California, USA","Sun Jun 13, 2021 08:11 UTC",Active,40.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Jun 11, 2021 03:03 UTC",Active,29.75,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Jun 06, 2021 04:26 UTC",Active,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Jun 03, 2021 17:29 UTC",Active,50.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Wed Jun 02, 2021 16:17 UTC",Active,29.15,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China","Sat May 29, 2021 12:55 UTC",Active,0,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia","Fri May 28, 2021 17:38 UTC",Active,25.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed May 26, 2021 18:59 UTC",Active,50.0,Success
Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Sat May 22, 2021 15:26 UTC",Active,0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed May 19, 2021 04:03 UTC",Active,64.68,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Tue May 18, 2021 17:37 UTC",Active,123.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat May 15, 2021 22:56 UTC",Active,50.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Sat May 15, 2021 11:11 UTC",Active,7.5,Failure
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun May 09, 2021 06:42 UTC",Active,50.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Thu May 06, 2021 18:11 UTC",Active,30.8,Success
SpaceX,"Suborbital Pad A, Starbase, Texas, USA","Wed May 05, 2021 22:25 UTC",Active,0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Tue May 04, 2021 19:01 UTC",Active,50.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Fri Apr 30, 2021 07:27 UTC",Active,64.68,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Apr 29, 2021 03:44 UTC",Active,50.0,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China","Thu Apr 29, 2021 03:23 UTC",Active,0,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France","Thu Apr 29, 2021 01:50 UTC",Active,37.0,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China","Tue Apr 27, 2021 03:20 UTC",Active,19.0,Success
ULA,"SLC-6, Vandenberg SFB, California, USA","Mon Apr 26, 2021 20:47 UTC",Active,350.0,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia","Sun Apr 25, 2021 22:14 UTC",Active,25.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Apr 23, 2021 09:49 UTC",Active,50.0,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA","Wed Apr 14, 2021 16:49 UTC",Active,0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Fri Apr 09, 2021 07:42 UTC",Active,17.42,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Thu Apr 08, 2021 23:01 UTC",Active,64.68,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Apr 07, 2021 16:34 UTC",Active,50.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Tue Mar 30, 2021 22:45 UTC",Active,64.68,Success
SpaceX,"Suborbital Pad B, Starbase, Texas, USA","Tue Mar 30, 2021 13:00 UTC",Active,0,Failure
Starsem,"Site 1S, Vostochny Cosmodrome, Russia","Thu Mar 25, 2021 02:47 UTC",Active,25.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Mar 24, 2021 08:28 UTC",Active,50.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Mon Mar 22, 2021 22:30 UTC",Active,0,Success
GK LS,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Mon Mar 22, 2021 06:07 UTC",Active,23.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sun Mar 14, 2021 10:01 UTC",Active,50.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Mar 13, 2021 02:19 UTC",Active,64.68,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China","Thu Mar 11, 2021 17:51 UTC",Active,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Mar 11, 2021 08:13 UTC",Active,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Mar 04, 2021 08:24 UTC",Active,50.0,Success
SpaceX,"Suborbital Pad A, Starbase, Texas, USA","Wed Mar 03, 2021 23:14 UTC",Active,0,Partial Failure
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sun Feb 28, 2021 06:55 UTC",Active,25.0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Sun Feb 28, 2021 04:54 UTC",Active,0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Feb 24, 2021 02:22 UTC",Active,64.68,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Sat Feb 20, 2021 17:36 UTC",Active,85.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Feb 16, 2021 03:59 UTC",Active,50.0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Mon Feb 15, 2021 04:45 UTC",Active,17.42,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Feb 04, 2021 15:36 UTC",Active,29.15,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Feb 04, 2021 06:19 UTC",Active,50.0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Feb 02, 2021 20:45 UTC",Active,20.0,Success
SpaceX,"Suborbital Pad B, Starbase, Texas, USA","Tue Feb 02, 2021 20:25 UTC",Active,0,Partial Failure
ISA,"Launch Platform, Shahrud Missile Test Site, Iran","Mon Feb 01, 2021",Active,0,Success
i-Space,"Site 95, Jiuquan Satellite Launch Center, China","Mon Feb 01, 2021 08:15 UTC",Active,0,Failure
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Fri Jan 29, 2021 04:47 UTC",Active,64.68,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Jan 24, 2021 15:00 UTC",Active,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Jan 20, 2021 13:02 UTC",Active,50.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Wed Jan 20, 2021 07:26 UTC",Active,7.5,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jan 19, 2021 16:25 UTC",Active,29.15,Success
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA","Sun Jan 17, 2021 19:38 UTC",Active,12.0,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA","Thu Jan 14, 2021 17:17 UTC",Active,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Jan 08, 2021 02:15 UTC",Active,50.0,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Tue Dec 29, 2020 16:42 UTC",Active,30.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun Dec 27, 2020 15:44 UTC",Active,64.68,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China","Tue Dec 22, 2020 04:37 UTC",Active,27.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Dec 19, 2020 14:00 UTC",Active,50.0,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia","Fri Dec 18, 2020 12:26 UTC",Active,25.0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Dec 17, 2020 10:09 UTC",Active,31.0,Success
Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA","Tue Dec 15, 2020 20:55 UTC",Active,2.5,Failure
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Tue Dec 15, 2020 10:09 UTC",Active,7.5,Success
VKS RF,"Site 35/1, Plesetsk Cosmodrome, Russia","Mon Dec 14, 2020 05:50 UTC",Active,100.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Dec 13, 2020 17:30 UTC",Active,50.0,Success
Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Sat Dec 12, 2020 16:19 UTC",Active,0,Partial Failure
